"","Measure Type","2017-05-03","2017-02-01","2016-10-26","2016-07-27","2016-04-27","2016-01-27","2015-10-28","2015-07-22","2015-04-28","2015-01-28","2014-10-27","2014-07-23","2014-04-24","2014-01-28","2013-10-30","2013-07-24","2013-04-24","2013-01-24","2012-10-31","2012-07-25","2012-04-25","2012-01-25","2011-10-26","2011-07-20","2011-04-21","2011-01-19","2010-10-27","2010-07-21","2010-04-21","2010-01-25.x","2010-01-25.y","2009-10-27","2009-07-22"
"1","Income Statement [Abstract]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Net sales","$ 52,896","$ 78,351","$ 215,639","$ 42,358","$ 50,557","$ 75,872","$ 233,715","$ 49,605","$ 58,010","$ 74,599","$ 182,795","$ 37,432","$ 45,646","$ 57,594","$ 170,910","$ 35,323","$ 43,603","$ 54,512","$ 156,508","$ 35,023","$ 39,186","$ 46,333","$ 108,249","$ 28,571","$ 24,667","$ 26,741","$ 65,225","$ 15,700","$ 13,499","$ 42,905","$ 15,683","$ 36,537","$ 8,337"
"3","Cost of sales","32,305","48,175","131,376","26,252","30,636","45,449","140,089","29,924","34,354","44,858","112,258","22,697","27,699","35,748","106,606","22,299","27,254","33,452","87,846","20,029","20,622","25,630","64,431","16,649","14,449","16,443","39,541","9,564","7,874","25,683","9,272","23,397","5,314"
"4","Gross margin","20,591","30,176","84,263","16,106","19,921","30,423","93,626","19,681","23,656","29,741","70,537","14,735","17,947","21,846","64,304","13,024","16,349","21,060","68,662","14,994","18,564","20,703","43,818","11,922","10,218","10,298","25,684","6,136","5,625","17,222","6,411","13,140","3,023"
"5","Operating expenses:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Research and development","2,776","2,871","10,045","2,560","2,511","2,404","8,067","2,034","1,918","1,895","6,041","1,603","1,422","1,330","4,475","1,178","1,119","1,010","3,381","876","841","758","2,429","628","581","575","1,782","464","426","1,333","398","1,333","341"
"7","Selling, general and administrative","3,718","3,946","14,194","3,441","3,423","3,848","14,329","3,564","3,460","3,600","11,993","2,850","2,932","3,053","10,830","2,645","2,672","2,840","10,040","2,545","2,339","2,605","7,599","1,915","1,763","1,896","5,517","1,438","1,220","4,149","1,288","4,149",NA
"8","Total operating expenses","6,494","6,817","24,239","6,001","5,934","6,252","22,396","5,598","5,378","5,495","18,034","4,453","4,354","4,383","15,305","3,823","3,791","3,850","13,421","3,421","3,180","3,363","10,028","2,543","2,344","2,471","7,299","1,902","1,646","5,482","1,686","5,482","1,351"
"9","Operating income","14,097","23,359","60,024","10,105","13,987","24,171","71,230","14,083","18,278","24,246","52,503","10,282","13,593","17,463","48,999","9,201","12,558","17,210","55,241","11,573","15,384","17,340","33,790","9,379","7,874","7,827","18,385","4,234","3,979","11,740","4,725","7,658","1,672"
"10","Other income/(expense), net","587","821","1,348","364","155","402","1,285","390","286","170","980","202","225","246","1,156","234","347","462","522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Income before provision for income taxes","14,684","24,180","61,372","10,469","14,142","24,573","72,515","14,473","18,564","24,416","53,483","10,484","13,818","17,709","50,155","9,435","12,905","17,672","55,763","11,861","15,532","17,477","34,205","9,551","7,900","7,963","18,540","4,292","4,029","12,066","4,758","7,984","1,732"
"12","Provision for income taxes","3,655","6,289","15,685","2,673","3,626","6,212","19,121","3,796","4,995","6,392","13,973","2,736","3,595","4,637","13,118","2,535","3,358","4,594","14,030","3,037","3,910","4,413","8,283","2,243","1,913","1,959","4,527","1,039","955","3,831","1,380","2,280","503"
"13","Net income","$ 11,029","$ 17,891","$ 45,687","$ 7,796","$ 10,516","$ 18,361","$ 53,394","$ 10,677","$ 13,569","$ 18,024","$ 39,510","$ 7,748","$ 10,223","$ 13,072","$ 37,037","$ 6,900","$ 9,547","$ 13,078","$ 41,733","$ 8,824","$ 11,622","$ 13,064","$ 25,922","$ 7,308","$ 5,987","$ 6,004","$ 14,013","$ 3,253","$ 3,074","$ 8,235","$ 3,378","$ 5,704","$ 1,229"
"14","Earnings per share:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Basic (in dollars per share)","$ 2.11","$ 3.38","$ 8.35","$ 1.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Diluted (in dollars per share)","$ 2.10","$ 3.36","$ 8.31","$ 1.42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Shares used in computing earnings per share:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Basic (in shares)","5,225,791","5,298,661","5,470,820","5,443,058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Diluted (in shares)","5,261,688","5,327,995","5,500,281","5,472,781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Cash dividends declared per share (in dollars per share)","$ 0.57","$ 0.57","$ 2.18","$ 0.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
